2500 1200
50 900
T 1 50 950 255 50 I'm a bit lost...
G 0 0 1150 1400 50 Level3Texture1.png 0 0 0
G 0 500 1000 200 150 Level3Texture2.png 0 0 0
G 0 1400 975 350 225 Level3Texture3.png 0 0 0
G 0 1800 1000 50 200 Level3Texture4.png 0 0 0
G 0 1950 1050 50 150 Level3Texture5.png 0 0 0
G 0 2100 1100 50 100 Level3Texture6.png 0 0 0
G 0 2250 1050 50 150 Level3Texture5.png 0 0 0
G 0 2400 1000 100 200 Level3Texture7.png 0 0 0

G 0 1250 750 100 75 Level3Texture8.png 0 0 0
G 0 1350 650 100 175 Level3Texture9.png 0 0 0
G 0 1450 700 50 125 Level3Texture10.png 0 0 0
G 0 1500 750 50 75 Level3Texture11.png 0 0 0
G 0 1550 800 50 25 Level3Texture12.png 0 0 0

G 0 0 600 1400 50 Level3Texture1.png 0 0 0

G 0 0 450 75 200 Level3Texture13.png 0 0 0
G 0 175 335 75 25 Level3Texture14.png 0 0 0

G 0 250 250 50 200 Level3Texture4.png 0 0 0
G 0 300 350 2050 50 Level3Texture15.png 0 0 0
G 0 1700 400 50 300 Level3Texture16.png 0 0 0
G 0 1850 500 650 50 Level3Texture17.png 0 0 0
G 0 1700 700 800 50 Level3Texture18.png 0 0 0

E 1 850 1100 50 50 enemy1.png 1 700 1400
E 1 1050 1100 50 50 enemy1.png 1 700 1400
E 1 1250 1100 50 50 enemy1.png 1 700 1400

G 0 400 1075 100 75 Level3Texture8.png 0 0 0

P 1 650 279 50 71 enemy2.png 1 300 2350
P 1 1100 279 50 71 enemy2.png 1 300 2350
P 1 1800 279 50 71 enemy2.png 1 300 2350

H 0 1270 670 50 50 Loofa.png 1
H 0 2420 900 50 75 Loofa.png 1

D 0 2400 650 50 50 door.png
